"date","statename","statepostal","fips","m50","m50_index"
2020-03-03,"Hawaii","HI",15,6.762,99
2020-03-03,"Iowa","IA",19,6.941,100
2020-03-03,"Idaho","ID",16,5.396,98
2020-03-03,"Illinois","IL",17,7.263,100
2020-03-03,"Indiana","IN",18,8.322,100
2020-03-03,"Kansas","KS",20,7.326,99
2020-03-03,"Kentucky","KY",21,8.331,96
2020-03-03,"Louisiana","LA",22,9.417,100
2020-03-03,"Massachusetts","MA",25,6.059,100
2020-03-03,"Maryland","MD",24,7.724,97
2020-03-03,"Maine","ME",23,7.122,99
2020-03-03,"Michigan","MI",26,7.866,98
2020-03-03,"Minnesota","MN",27,7.267,98
2020-03-03,"Missouri","MO",29,9.374,100
2020-03-03,"Mississippi","MS",28,11.205,100
2020-03-03,"Montana","MT",30,4.116,98
2020-03-03,"North Carolina","NC",37,9.38,96
2020-03-03,"North Dakota","ND",38,4.146,96
2020-03-03,"Nebraska","NE",31,6.528,97
2020-03-03,"New Hampshire","NH",33,8.833,100
2020-03-03,"New Jersey","NJ",34,7.012,98
2020-03-03,"New Mexico","NM",35,5.899,99
2020-03-03,"Nevada","NV",32,7.049,100
2020-03-03,"New York","NY",36,5.085,98
2020-03-03,"Ohio","OH",39,7.798,98
2020-03-03,"Oklahoma","OK",40,9.581,100
2020-03-03,"Oregon","OR",41,5.05,97
2020-03-03,"Pennsylvania","PA",42,6.153,97
2020-03-03,"Rhode Island","RI",44,5.912,96
2020-03-03,"South Carolina","SC",45,9.487,99
2020-03-03,"South Dakota","SD",46,5.187,101
2020-03-03,"Tennessee","TN",47,9.428,92
2020-03-03,"Texas","TX",48,9.062,99
2020-03-03,"Utah","UT",49,7.03,99
2020-03-03,"Virginia","VA",51,7.92,98
2020-03-03,"Vermont","VT",50,5.316,90
2020-03-03,"Washington","WA",53,6.075,98
2020-03-03,"Wisconsin","WI",55,6.627,99
2020-03-03,"West Virginia","WV",54,7.614,98
2020-03-03,"Wyoming","WY",56,3.644,90
2020-03-04,"Alaska","AK",2,4.003,100
2020-03-04,"Alabama","AL",1,10.144,96
2020-03-04,"Arkansas","AR",5,9.347,97
2020-03-04,"Arizona","AZ",4,7.819,100
2020-03-04,"California","CA",6,6.827,99
2020-03-04,"Colorado","CO",8,7.046,99
2020-03-04,"Connecticut","CT",9,6.74,100
2020-03-04,"Washington, D.C.","DC",11,3.656,100
2020-03-04,"Delaware","DE",10,8.092,97
2020-03-04,"Florida","FL",12,8.133,99
2020-03-04,"Georgia","GA",13,9.549,97
2020-03-04,"Hawaii","HI",15,6.778,100
2020-03-04,"Iowa","IA",19,6.825,98
2020-03-04,"Idaho","ID",16,5.454,100
2020-03-04,"Illinois","IL",17,7.255,99
2020-03-04,"Indiana","IN",18,8.167,98
2020-03-04,"Kansas","KS",20,7.352,100
2020-03-04,"Kentucky","KY",21,8.618,100
2020-03-04,"Louisiana","LA",22,8.735,92
2020-03-04,"Massachusetts","MA",25,5.959,98
2020-03-04,"Maryland","MD",24,7.912,100
2020-03-04,"Maine","ME",23,6.599,92
2020-03-04,"Michigan","MI",26,7.987,100
2020-03-04,"Minnesota","MN",27,7.389,100
2020-03-04,"Missouri","MO",29,9.255,98
2020-03-04,"Mississippi","MS",28,10.346,92
2020-03-04,"Montana","MT",30,4.16,100
2020-03-04,"North Carolina","NC",37,9.629,98
2020-03-04,"North Dakota","ND",38,4.277,100
2020-03-04,"Nebraska","NE",31,6.677,100
2020-03-04,"New Hampshire","NH",33,8.472,95
2020-03-04,"New Jersey","NJ",34,7.152,99
2020-03-04,"New Mexico","NM",35,5.943,100
2020-03-04,"Nevada","NV",32,7.03,99
2020-03-04,"New York","NY",36,5.144,99
2020-03-04,"Ohio","OH",39,7.944,100
2020-03-04,"Oklahoma","OK",40,9.273,96
2020-03-04,"Oregon","OR",41,5.159,100
2020-03-04,"Pennsylvania","PA",42,6.312,99
2020-03-04,"Rhode Island","RI",44,6.101,100
2020-03-04,"South Carolina","SC",45,9.559,100
2020-03-04,"South Dakota","SD",46,4.889,95
2020-03-04,"Tennessee","TN",47,10.233,100
2020-03-04,"Texas","TX",48,8.571,94
2020-03-04,"Utah","UT",49,7.068,100
2020-03-04,"Virginia","VA",51,8.005,99
2020-03-04,"Vermont","VT",50,5.903,100
2020-03-04,"Washington","WA",53,6.158,100
